Date,Error,Message

2018-09-22 19:17:04,Log,Startar systemet
2018-09-22 19:17:08,Log,Startar initial tråd
2018-09-22 19:17:08,Log,Laddar upp initiala filer
2018-09-22 19:17:39,Log,Startar systemet
2018-09-22 19:17:43,Log,Startar initial tråd
2018-09-22 19:17:43,Log,Laddar upp initiala filer
2018-09-22 19:21:40,Log,Startar systemet
2018-09-22 19:21:44,Log,Startar initial tråd
2018-09-22 19:21:44,Log,Laddar upp initiala filer
2018-09-22 19:28:52,Log,Startar systemet
2018-09-22 19:28:56,Log,Startar initial tråd
2018-09-22 19:28:57,Log,Laddar upp initiala filer
2018-09-22 19:35:07,Log,Startar systemet
2018-09-22 19:35:11,Log,Startar initial tråd
2018-09-22 19:35:11,Log,Laddar upp initiala filer
2018-09-22 19:49:19,Log,Startar systemet
2018-09-22 19:49:23,Log,Startar initial tråd
2018-09-22 19:49:23,Log,Laddar upp initiala filer
2018-09-22 19:53:25,Log,Startar systemet
2018-09-22 19:53:29,Log,Startar initial tråd
2018-09-22 19:53:29,Log,Laddar upp initiala filer
2018-09-22 19:54:50,Log,Startar systemet
2018-09-22 19:54:54,Log,Startar initial tråd
2018-09-22 19:54:54,Log,Laddar upp initiala filer
2018-09-22 19:58:11,Log,Startar systemet
2018-09-22 19:58:15,Log,Startar systemet
2018-09-22 19:58:19,Log,Startar initial tråd
2018-09-22 19:58:19,Log,Laddar upp initiala filer
2018-09-22 20:09:15,Log,Startar systemet
2018-09-22 20:09:21,Log,Startar initial tråd
2018-09-22 20:09:21,Log,Tråd körs.
2018-09-22 20:09:21,Log,Laddar upp initiala filer
2018-09-22 20:09:22,Log,Filer - initiala - uppladdade.
2018-09-22 20:09:30,Log,Status - Välkommen.
2018-09-22 20:09:30,Log,Kalender hämtad.
2018-09-22 20:09:40,Log,Filer - status - uppladdade.
2018-09-22 20:10:40,Log,Tråd körs.
2018-09-22 20:10:49,Log,Status - Välkommen.
2018-09-22 20:10:51,Log,Filer - status - uppladdade.
2018-09-22 20:10:51,Log,Kalender hämtad.
2018-09-22 20:11:00,Log,Filer - status - uppladdade.
2018-09-22 20:12:00,Log,Tråd körs.
2018-09-22 20:12:10,Log,Status - Välkommen.
2018-09-22 20:12:11,Log,Filer - status - uppladdade.
2018-09-22 20:12:11,Log,Kalender hämtad.
2018-09-22 20:12:20,Log,Filer - status - uppladdade.
2018-09-22 20:13:21,Log,Tråd körs.
2018-09-22 20:13:30,Log,Status - Välkommen.
2018-09-22 20:13:32,Log,Filer - status - uppladdade.
2018-09-22 20:13:32,Log,Kalender hämtad.
2018-09-22 20:13:41,Log,Filer - status - uppladdade.
2018-09-22 20:13:53,Log,Startar systemet
2018-09-22 20:13:59,Log,Startar initial tråd
2018-09-22 20:13:59,Log,Tråd körs.
2018-09-22 20:13:59,Log,Laddar upp initiala filer
2018-09-22 20:14:00,Log,Filer - initiala - uppladdade
2018-09-22 20:14:08,Log,Status - Välkommen.
2018-09-22 20:14:08,Log,Kalender hämtad
2018-09-22 20:14:17,Log,Filer - status - uppladdade
2018-09-22 20:15:18,Log,Tråd körs.
2018-09-22 20:15:27,Log,Status - Välkommen.
2018-09-22 20:15:29,Log,Filer - status - uppladdade
2018-09-22 20:15:29,Log,Kalender hämtad
2018-09-22 20:15:38,Log,Filer - status - uppladdade
2018-09-22 20:16:38,Log,Tråd körs.
2018-09-22 20:16:48,Log,Status - Ingen inne.
2018-09-22 20:16:49,Log,Filer - status - uppladdade
2018-09-22 20:16:49,Log,Kalender hämtad
2018-09-22 20:16:59,Log,Filer - status - uppladdade
2018-09-22 20:17:59,Log,Tråd körs.
2018-09-22 20:18:09,Log,Status - Välkommen.
2018-09-22 20:18:11,Log,Filer - status - uppladdade
2018-09-22 20:18:11,Log,Kalender hämtad
2018-09-22 20:18:20,Log,Filer - status - uppladdade